ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
52;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-003;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;903AZFM5W195
53;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO;APS-RF-004;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;903AZGF5W207
54;SEDE;ANEXO PISO SUPERIOR;REFEITÓRIO / DESCOMPRESSÃO;APS-RF-005;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT INVERTER SPRINGER MIDEA HI WALL 18.000 BTUS FRIO 42MBC18M5;4218B14341185
55;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GUARITA;CPT-GU-001;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT HI WALL INVERTER WI-FI SPRINGER MIDEA 12000 BTUS FRIO 42QCAA12M5;11708497
56;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-002;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP1.ANWZBRZ;306AZAL0J704
57;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-003;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE E FRIO 220V ATNW24GPLP1.ANWZBRZ;306AZAL0J701
58;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;RECEPÇÃO;CPT-RE-004;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48000 BTUS QUENTE/FRIO ATNW48GMLP1.ANWZBRZ;301AZZX9V125
59;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-005;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 48000 BTUS FRIO 42XQD048515LC/38CQE048535MC; - 
60;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;AUDITÓRIO;CPT-AU-006;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 58000 BTUS FRIO 42XQD060515LC/38CQD060535MC; - 
61;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;GERENCIA ATENDIMENTO PJ;CPT-ST-007;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT TETO INVERTER LG 36000 BTUS QUENTE/FRIO  AVNW36GM1P0.ANWZBRZ;107AZSP1N470
62;CENTRO DE CONVIVENCIA;CENTRO DE CONVIVENCIA PISO TÉRREO;SALA DE COSTURA;CPT-SC-008;RUA MEM DE SÁ, 120, VILA PROGRESSO, SÃO JOSÉ DOS CAMPOS - SP CEP: 12216-001;54.190.525/0001-66;AR CONDICIONADO SPLIT PISO/TETO SPRINGER MIDEA 58000 BTUS FRIO 42XQD060515LC/38CQD060535MC; -
